"iompba0 href","x","iompba0 2","iompba0 href 2","x","x","x","x","x","x","iompba0 8","x","iompba0 9","iompba0 href 4","a","x","f","d","d","e","f","e","e","f"
"https://www.carsales.com.au/cars/details/2015-mazda-3-neo-bm-series-auto/OAG-AD-25106087/","22",".__m__-r1e{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://www.carsales.com.au/cars/details/2015-mazda-3-neo-bm-series-auto/OAG-AD-25106087/","https://carsales.pxcrush.net/carsales/cars/dealer/4ib5w44dekva1hojhtkchyz6x.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2015 Mazda 3","Neo Auto F","$17,990","Around market price","This indicates how this car's price compares to similar cars recently advertised.  The badge can’t be purchased or altered by the seller.  We don’t take into account condition or extras, so you should make your own assessment.","Read more","https://resource.csnstatic.com/retail/price-indicator/info-modal-v5.html","Excl. Govt. Charges","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25106087","Hatch","4cyl 2.0L Petrol","45,349 km","Dealer used","NSW","Contact dealer","","","",""
"https://www.carsales.com.au/cars/details/2022-mazda-3-g25-astina-bp-series-auto/OAG-AD-25218315/","20",".__m__-r1n{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://www.carsales.com.au/cars/details/2022-mazda-3-g25-astina-bp-series-auto/OAG-AD-25218315/","https://carsales.pxcrush.net/carsales/car/dealer/5x6n79m1k9n1228in2b5p40s3.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2022 Mazda 3","G25 Astina Auto F","$33,390","","","","","Excl. Govt. Charges","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25218315","Hatch","4cyl 2.5L Petrol","47,587 km","Dealer used","NSW","Contact dealer","","","",""
"https://www.carsales.com.au/cars/details/2023-mazda-3-g20-touring-bp-series-auto/OAG-AD-25196060/","24",".__m__-r22{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://www.carsales.com.au/cars/details/2023-mazda-3-g20-touring-bp-series-auto/OAG-AD-25196060/","https://carsales.pxcrush.net/carsales/car/dealer/cq90cov3apc6v4a89d5pm4zdt.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2023 Mazda 3","G20 Touring Auto F","$32,999","","","","","Excl. Govt. Charges","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25196060","Hatch","4cyl 2.0L Petrol","5,178 km","Dealer used","NSW","Contact dealer","","","",""
"https://www.carsales.com.au/cars/details/2011-mazda-3-neo-bl-series-1-auto-my10/SSE-AD-19793729/","6",".__m__-r2b{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://www.carsales.com.au/payments","https://carsales.pxcrush.net/carsales/cars/private/39f1rbu5zuljs8hhqikgrudoc.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2011 Mazda 3","Neo Auto F MY10","$7,250","Around market price","This indicates how this car's price compares to similar cars recently advertised.  The badge can’t be purchased or altered by the seller.  We don’t take into account condition or extras, so you should make your own assessment.","Read more","https://resource.csnstatic.com/retail/price-indicator/info-modal-v5.html","Excl. Govt. Charges","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/SSE-AD-19793729","Sedan","4cyl 2.0L Petrol","162,338 km","Private","ACT","Contact seller","ID verified","The seller has completed the Pay through carsales verification process by providing a valid identification document.","carsales is unable to guarantee that the user is the valid owner of this document.","Get a verified badge"
"https://www.carsales.com.au/cars/details/2024-mazda-3-g20-touring-bp-series-auto/OAG-AD-25180813/","22",".__m__-r2m{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://www.carsales.com.au/cars/details/2024-mazda-3-g20-touring-bp-series-auto/OAG-AD-25180813/","https://carsales.pxcrush.net/carsales/car/dealer/6wm3bt1qbls8vfvd9ugxyh3qq.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2024 Mazda 3","G20 Touring Auto F","$36,990","","","","","Excl. Govt. Charges","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25180813","Hatch","4cyl 2.0L Petrol","740 km","Dealer used","NSW","Contact dealer","","","",""
"https://www.carsales.com.au/cars/details/2017-honda-civic-vti-s-auto-my17/OAG-AD-25262197/","28",".__m__-r30{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://www.carsales.com.au/cars/details/2017-honda-civic-vti-s-auto-my17/OAG-AD-25262197/","https://carsales.pxcrush.net/carsales/cars/dealer/1f418ouxqwypcbh254hwq6j0x.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2017 Honda Civic","VTi-S Auto F MY17","$17,990","","","","","Excl. Govt. Charges","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25262197","Sedan","4cyl 1.8L Petrol","154,937 km","Dealer used","NSW","Contact dealer","","","",""
"https://www.carsales.com.au/cars/details/2024-mazda-3-g20-pure-bp-series-auto/OAG-AD-25252955/","11",".__m__-r3d{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://www.carsales.com.au/cars/details/2024-mazda-3-g20-pure-bp-series-auto/OAG-AD-25252955/","https://carsales.pxcrush.net/carsales/cars/dealer/407xhujhpaumpprlheidbhuv1.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2024 Mazda 3","G20 Pure Auto F","$30,990","","","","","Excl. Govt. Charges","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25252955","Hatch","4cyl 2.0L Petrol","6,557 km","Dealer used","NSW","Contact dealer","","","",""
"https://www.carsales.com.au/cars/details/2020-mazda-3-g20-pure-bp-series-auto/OAG-AD-25200232/","16",".__m__-r3q{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://www.carsales.com.au/cars/details/2020-mazda-3-g20-pure-bp-series-auto/OAG-AD-25200232/","https://carsales.pxcrush.net/carsales/car/dealer/56dpan88i610rbj2wp0v01xx0.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2020 Mazda 3","G20 Pure Auto F","$17,979","","","","","Excl. Govt. Charges","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25200232","Sedan","4cyl 2.0L Petrol","156,546 km","Dealer used","NSW","Contact dealer","","","",""
"https://www.carsales.com.au/cars/details/2010-honda-civic-limited-edition-auto-my10/SSE-AD-19803853/","16",".__m__-r47{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://www.carsales.com.au/payments","https://carsales.pxcrush.net/carsales/cars/private/7ur9hsiqlv9lriayattt9q9cu.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2010 Honda Civic","Limited Edition Auto F MY10","$10,990","Around market price","This indicates how this car's price compares to similar cars recently advertised.  The badge can’t be purchased or altered by the seller.  We don’t take into account condition or extras, so you should make your own assessment.","Read more","https://resource.csnstatic.com/retail/price-indicator/info-modal-v5.html","Excl. Govt. Charges","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/SSE-AD-19803853","Sedan","4cyl 1.8L Petrol","75,460 km","Private","NSW","Contact seller","ID verified","The seller has completed the Pay through carsales verification process by providing a valid identification document.","carsales is unable to guarantee that the user is the valid owner of this document.","Get a verified badge"
"https://www.carsales.com.au/cars/details/2013-mazda-3-neo-bl-series-2-auto-my13/OAG-AD-25296779/","1",".__m__-r4k{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://www.carsales.com.au/cars/details/2013-mazda-3-neo-bl-series-2-auto-my13/OAG-AD-25296779/","https://carsales.pxcrush.net/placeholder","2013 Mazda 3","Neo Auto F MY13","$12,990","Around market price","This indicates how this car's price compares to similar cars recently advertised.  The badge can’t be purchased or altered by the seller.  We don’t take into account condition or extras, so you should make your own assessment.","Read more","https://resource.csnstatic.com/retail/price-indicator/info-modal-v5.html","$12,573 Excl. Est. Govt. Charges","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25296779","Hatch","4cyl 2.0L Petrol","108,844 km","Dealer used","NSW","Contact dealer","Drive away","","",""
