"iompba0 href","x","x","iompba0 href 2","iompba0 9","x","a","b","c","x","x","iompba0 href 5","d","f","d","e","e","f","f","iompba0 27"
"https://www.carsales.com.au/cars/details/2012-mazda-3-neo-bl-series-2-auto/SSE-AD-19373770/","10","Buyer and seller IDs verified","https://www.carsales.com.au/payments/terms-and-conditions",".__m__-r1e{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://carsales.pxcrush.net/carsales/cars/private/4q70ssbv7ivp9t7qm7dniktjo.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2012 Mazda 3","Neo Auto F","$8,990","This indicates how this car's price compares to similar cars recently advertised.  The badge can’t be purchased or altered by the seller.  We don’t take into account condition or extras, so you should make your own assessment.","Read more","https://resource.csnstatic.com/retail/price-indicator/info-modal-v5.html","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/SSE-AD-19373770","Sedan","Automatic","4cyl 2.0L Petrol","143,000 km","Private","VIC","Contact seller"
"https://www.carsales.com.au/cars/details/2017-mazda-3-sp25-gt-bn-series-auto/OAG-AD-25219554/","30","Around market price","https://www.carsales.com.au/cars/details/2017-mazda-3-sp25-gt-bn-series-auto/OAG-AD-25219554/",".__m__-r22{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://carsales.pxcrush.net/carsales/car/dealer/dsphb8ppcy03o5y5ea1zp82zi.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2017 Mazda 3","SP25 GT Auto F","$20,990","This indicates how this car's price compares to similar cars recently advertised.  The badge can’t be purchased or altered by the seller.  We don’t take into account condition or extras, so you should make your own assessment.","Read more","https://resource.csnstatic.com/retail/price-indicator/info-modal-v5.html","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25219554","Hatch","Automatic","4cyl 2.5L Petrol","89,233 km","Dealer used","NSW","Contact dealer"
"https://www.carsales.com.au/cars/details/2020-mazda-3-g20-pure-bp-series-auto/OAG-AD-25200234/","15","","https://www.carsales.com.au/cars/details/2020-mazda-3-g20-pure-bp-series-auto/OAG-AD-25200234/",".__m__-r2b{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://carsales.pxcrush.net/carsales/car/dealer/8bp6va6tvjxhspbydoex2rk9f.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2020 Mazda 3","G20 Pure Auto F","$18,979","","","","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25200234","Hatch","Automatic","4cyl 2.0L Petrol","134,818 km","Dealer used","NSW","Contact dealer"
"https://www.carsales.com.au/cars/details/2019-mazda-3-g25-evolve-bp-series-auto/OAG-AD-25155974/","31","","https://www.carsales.com.au/cars/details/2019-mazda-3-g25-evolve-bp-series-auto/OAG-AD-25155974/",".__m__-r2m{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://carsales.pxcrush.net/carsales/car/dealer/96elb4a91dv18rnwczg3k2kb6.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2019 Mazda 3","G25 Evolve Auto F","$21,990","This indicates how this car's price compares to similar cars recently advertised.  The badge can’t be purchased or altered by the seller.  We don’t take into account condition or extras, so you should make your own assessment.","Read more","https://resource.csnstatic.com/retail/price-indicator/info-modal-v5.html","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25155974","Sedan","Automatic","4cyl 2.5L Petrol","96,374 km","Dealer used","NSW","Contact dealer"
"https://www.carsales.com.au/cars/details/2017-mazda-3-maxx-bn-series-manual/OAG-AD-25034656/","20","","https://www.carsales.com.au/cars/details/2017-mazda-3-maxx-bn-series-manual/OAG-AD-25034656/",".__m__-r30{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://carsales.pxcrush.net/carsales/cars/dealer/bags41nc8pg9i8619pgtsnkga.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2017 Mazda 3","Maxx Manual F","$16,990","","","","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25034656","Sedan","Manual","4cyl 2.0L Petrol","136,341 km","Dealer used","NSW","Contact dealer"
"https://www.carsales.com.au/cars/details/2023-mazda-3-g20-evolve-bp-series-auto/OAG-AD-25272456/","31","","https://www.carsales.com.au/cars/details/2023-mazda-3-g20-evolve-bp-series-auto/OAG-AD-25272456/",".__m__-r3d{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://carsales.pxcrush.net/carsales/car/dealer/1h0jhnde8s4igjo4os0ckh872.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2023 Mazda 3","G20 Evolve Auto F","$28,990","","","","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25272456","Sedan","Automatic","4cyl 2.0L Petrol","10,566 km","Dealer used","NSW","Contact dealer"
"https://www.carsales.com.au/cars/details/2023-mazda-3-g25-astina-bp-series-auto/OAG-AD-25225367/","31","","https://www.carsales.com.au/cars/details/2023-mazda-3-g25-astina-bp-series-auto/OAG-AD-25225367/",".__m__-r3q{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://carsales.pxcrush.net/carsales/car/dealer/dhry2rdgzyjqokkb7j8jvmmv8.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2023 Mazda 3","G25 Astina Auto F","$37,990","","","","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25225367","Hatch","Automatic","4cyl 2.5L Petrol","1,758 km","Dealer used","NSW","Contact dealer"
"https://www.carsales.com.au/cars/details/2021-mazda-3-g25-astina-bp-series-auto/OAG-AD-25225404/","36","Around market price","https://www.carsales.com.au/cars/details/2021-mazda-3-g25-astina-bp-series-auto/OAG-AD-25225404/",".__m__-r47{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://carsales.pxcrush.net/carsales/car/dealer/bccpd2gyuy1hykr3uruha9fi.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2021 Mazda 3","G25 Astina Auto F","$28,490","This indicates how this car's price compares to similar cars recently advertised.  The badge can’t be purchased or altered by the seller.  We don’t take into account condition or extras, so you should make your own assessment.","Read more","https://resource.csnstatic.com/retail/price-indicator/info-modal-v5.html","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25225404","Hatch","Automatic","4cyl 2.5L Petrol","72,730 km","Dealer used","NSW","Contact dealer"
"https://www.carsales.com.au/cars/details/2020-mazda-3-g25-evolve-bp-series-auto/OAG-AD-25302005/","30","Around market price","https://www.carsales.com.au/cars/details/2020-mazda-3-g25-evolve-bp-series-auto/OAG-AD-25302005/",".__m__-r4k{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://carsales.pxcrush.net/carsales/car/dealer/61dpx7zr4994sx4fqm683e1mu.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2020 Mazda 3","G25 Evolve Auto F","$26,995","This indicates how this car's price compares to similar cars recently advertised.  The badge can’t be purchased or altered by the seller.  We don’t take into account condition or extras, so you should make your own assessment.","Read more","https://resource.csnstatic.com/retail/price-indicator/info-modal-v5.html","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25302005","Hatch","Automatic","4cyl 2.5L Petrol","34,926 km","Dealer used","NSW","Contact dealer"
"https://www.carsales.com.au/cars/details/2020-honda-civic-rs-auto-my20/OAG-AD-25300157/","27","Around market price","https://www.carsales.com.au/cars/details/2020-honda-civic-rs-auto-my20/OAG-AD-25300157/",".__m__-r51{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://carsales.pxcrush.net/carsales/car/dealer/9pxuv9q6i3y7s4pafjmynqdme.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2020 Honda Civic","RS Auto F MY20","$29,990","This indicates how this car's price compares to similar cars recently advertised.  The badge can’t be purchased or altered by the seller.  We don’t take into account condition or extras, so you should make your own assessment.","Read more","https://resource.csnstatic.com/retail/price-indicator/info-modal-v5.html","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/OAG-AD-25300157","Hatch","Automatic","4cyl 1.5L T Petrol","73,656 km","Dealer used","ACT","Contact dealer"
"https://www.carsales.com.au/cars/details/2019-honda-civic-50-years-edition-auto-my19/SSE-AD-19795549/","20","Around market price","https://www.carsales.com.au/payments",".__m__-r5e{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://carsales.pxcrush.net/carsales/cars/private/79p99d2kbtep4opz5e1dotrfk.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","2019 Honda Civic","50 Years Edition Auto F MY19","$22,500","This indicates how this car's price compares to similar cars recently advertised.  The badge can’t be purchased or altered by the seller.  We don’t take into account condition or extras, so you should make your own assessment.","Read more","https://resource.csnstatic.com/retail/price-indicator/info-modal-v5.html","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/SSE-AD-19795549","Hatch","Automatic","4cyl 1.8L Petrol","95,000 km","Private","NSW","Contact seller"
"https://www.carsales.com.au/cars/details/1991-honda-civic-sir-manual/SSE-AD-19665136/","24","Buyer and seller IDs verified","https://www.carsales.com.au/payments/terms-and-conditions",".__m__-r5p{--carousel-slide-gap:0rem;--carousel-slide-size:100%;}","https://carsales.pxcrush.net/carsales/cars/private/c3tvyujv7cs8haxrms4nys1m3.jpg?pxc_method=fitfill&pxc_bgtype=self&pxc_size=720,480","1991 Honda Civic","SiR Manual F","$28,800","","","","https://www.carsales.com.au/_details/api/v1/price-guide/carsales/SSE-AD-19665136","Hatch","Manual","4cyl 1.6L Petrol","91,833 km","Private","NSW","Contact seller"
