"x1i10hfl href","x15mokao src","a","x193iq5w 2","b","c","d"
"https://www.facebook.com/marketplace/item/1383833266591872/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7856606307037564765%22%2C%22mf_story_key%22%3A%2225061283610231488%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25061283610231488%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A52%2C%5C%22ranking_signature%5C%22%3A3636332455793815165%2C%5C%22ranking_request_id%5C%22%3A8962385051695390232%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A2.54459226661e-6%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225061283610231488%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://scontent.fsyd14-1.fna.fbcdn.net/v/t39.30808-6/586573033_10172965933185607_1886118077990695955_n.jpg?stp=c0.295.1153.1153a_dst-jpg_s261x260_tt6&_nc_cat=105&_nc_cb=99be929b-f3b7c874&ccb=1-7&_nc_sid=454cf4&_nc_ohc=TxUje4es4AAQ7kNvwEITQ70&_nc_oc=AdkNcHdhlXz7qY9WSOj2v02g4UtZ2Wp9YSM6meh6tRNvSKjMm38h0an9Ikr32rKS1x0&_nc_zt=23&_nc_ht=scontent.fsyd14-1.fna&_nc_gid=8ozv2aeBzgTvyZiqS5ooMQ&oh=00_Afl5SBCCkTsxoWIB0EidxDH2THTnDbn6TodSa6AeAf1klg&oe=693561D6","AU$13,000","AU$14,999","2012 Mazda 3","Sydney, NSW","135K km"
"https://www.facebook.com/marketplace/item/2017979615626382/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7856606307037564765%22%2C%22mf_story_key%22%3A%2225901161102814961%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25901161102814961%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A54%2C%5C%22ranking_signature%5C%22%3A3636332455793815165%2C%5C%22ranking_request_id%5C%22%3A8962385051695390232%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A7.9959107881788e-5%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225901161102814961%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://scontent.fsyd14-1.fna.fbcdn.net/v/t39.30808-6/585883758_24802955422739337_6292797882369519826_n.jpg?stp=c0.169.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=102&_nc_cb=99be929b-f3b7c874&ccb=1-7&_nc_sid=454cf4&_nc_ohc=AiBa0o_DVXUQ7kNvwG6wlCu&_nc_oc=Adlor3bBnPFtZ-1qPRuRhQdAYBr_jmnvAQgM9jlrV0glrw7Mc6uAC6WzjwWStVy-5QI&_nc_zt=23&_nc_ht=scontent.fsyd14-1.fna&_nc_gid=8ozv2aeBzgTvyZiqS5ooMQ&oh=00_Afmd-xTffp83Q1rfre8t_qCv7FNRD3HWT4_wm2ymNcpoUw&oe=693562A3","AU$17,000","","2017 Mazda 3","Sydney, NSW","150K km"
"https://www.facebook.com/marketplace/item/1381950690081009/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7856606307037564765%22%2C%22mf_story_key%22%3A%2225168756392763784%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25168756392763784%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A56%2C%5C%22ranking_signature%5C%22%3A3636332455793815165%2C%5C%22ranking_request_id%5C%22%3A8962385051695390232%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A3.546928441355e-6%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225168756392763784%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://scontent.fsyd14-1.fna.fbcdn.net/v/t39.30808-6/585054670_10164246935647292_1057758459425311432_n.jpg?stp=c0.363.947.947a_dst-jpg_s261x260_tt6&_nc_cat=100&_nc_cb=99be929b-f3b7c874&ccb=1-7&_nc_sid=454cf4&_nc_ohc=M8iEERzwo64Q7kNvwF-T8BX&_nc_oc=Adl5-Asj_2tGznQUivtCIo1r_CnAD9y50VuoESPLUPb-oayXrNZ-BUHkRDBgB3yYCNk&_nc_zt=23&_nc_ht=scontent.fsyd14-1.fna&_nc_gid=8ozv2aeBzgTvyZiqS5ooMQ&oh=00_AflXT46BAFbOBx75kmp_niucQScu44UJXgGF635aKs9Yiw&oe=6935640A","AU$8,000","","2013 Mazda 3","Sydney, NSW","213K km"
"https://www.facebook.com/marketplace/item/820513927638535/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7856606307037564765%22%2C%22mf_story_key%22%3A%2225353999294242404%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25353999294242404%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A58%2C%5C%22ranking_signature%5C%22%3A3636332455793815165%2C%5C%22ranking_request_id%5C%22%3A8962385051695390232%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A5.1060023911144e-5%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225353999294242404%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://scontent.fsyd14-1.fna.fbcdn.net/v/t39.30808-6/584544090_122182648400467462_5418311193089584777_n.jpg?stp=c0.169.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=111&_nc_cb=99be929b-f3b7c874&ccb=1-7&_nc_sid=454cf4&_nc_ohc=6qKHkijNeo0Q7kNvwGaKB3O&_nc_oc=Adn8v4JIz3CbPXSDiP536t0B6td6fxY_MlROtpa14oPT9Mguo3I_XIBiIem61aO12Nk&_nc_zt=23&_nc_ht=scontent.fsyd14-1.fna&_nc_gid=8ozv2aeBzgTvyZiqS5ooMQ&oh=00_AfmxIlXeta4rOGZcENduuCZ3zBWZVSqY_kC3j5fzzPYg5w&oe=69354B98","AU$8,000","","2009 Mazda 3","Sydney, NSW","190K km"
"https://www.facebook.com/marketplace/item/2400111503782504/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7856606307037564765%22%2C%22mf_story_key%22%3A%2232588815180766240%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A32588815180766240%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A61%2C%5C%22ranking_signature%5C%22%3A3636332455793815165%2C%5C%22ranking_request_id%5C%22%3A8962385051695390232%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A4.4907314098555e-5%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2232588815180766240%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://scontent.fsyd14-1.fna.fbcdn.net/v/t39.30808-6/585907523_1998788247547605_7771872579320488055_n.jpg?stp=c0.132.1200.1200a_dst-jpg_s261x260_tt6&_nc_cat=100&_nc_cb=99be929b-f3b7c874&ccb=1-7&_nc_sid=454cf4&_nc_ohc=yT2JE7nv0RkQ7kNvwGph2Vo&_nc_oc=AdkORBu6SwlvNk5TeNMt4083INL7MtINjpgl7929Zd-GAIXAd3djeJKxJ0xed-JXEac&_nc_zt=23&_nc_ht=scontent.fsyd14-1.fna&_nc_gid=8ozv2aeBzgTvyZiqS5ooMQ&oh=00_Aflj1ptP8FmE4MFf8IEUA3m4CTCehSQ_bXam_6-KZB4cCg&oe=693562D5","AU$5,600","","2008 Mazda 3","Sydney, NSW","194K km"
"https://www.facebook.com/marketplace/item/1409548290615422/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7856606307037564765%22%2C%22mf_story_key%22%3A%2232419425341039357%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A32419425341039357%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A62%2C%5C%22ranking_signature%5C%22%3A3636332455793815165%2C%5C%22ranking_request_id%5C%22%3A8962385051695390232%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A5.4375760103317e-5%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2232419425341039357%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://scontent.fsyd14-1.fna.fbcdn.net/v/t39.30808-6/586893310_24915732488096848_5648862452128679177_n.jpg?stp=c0.169.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=108&_nc_cb=99be929b-f3b7c874&ccb=1-7&_nc_sid=454cf4&_nc_ohc=fswSk3hkeMIQ7kNvwHRVLiN&_nc_oc=Adk5_Z7kQBODvtCP2DJb6-N7g28mLsrMbGFh33IP1kzAyOe6b9moEdDFy-K4pO0wtHo&_nc_zt=23&_nc_ht=scontent.fsyd14-1.fna&_nc_gid=8ozv2aeBzgTvyZiqS5ooMQ&oh=00_AfncQVfAjInrQDVent_7n_LXQNKs4LQvfydrib7yTh2_0w&oe=69355F72","AU$111,111","","2008 Mazda 3","Sydney, NSW","300K km"
"https://www.facebook.com/marketplace/item/1186800573513952/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7856606307037564765%22%2C%22mf_story_key%22%3A%2225702180126056701%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25702180126056701%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A63%2C%5C%22ranking_signature%5C%22%3A3636332455793815165%2C%5C%22ranking_request_id%5C%22%3A8962385051695390232%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00028796232823163%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225702180126056701%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://scontent.fsyd14-1.fna.fbcdn.net/v/t39.30808-6/590926117_24875113545523105_3571367873897283560_n.jpg?stp=c0.169.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=109&_nc_cb=99be929b-f3b7c874&ccb=1-7&_nc_sid=946e27&_nc_ohc=MijLQbBy68IQ7kNvwGQ_xvZ&_nc_oc=AdmXe85oC4r3mbafTCubL7nDbL7tw_PTiE3ggN5lof2h4L-n95hMJn-_mcZowdlJSRU&_nc_zt=23&_nc_ht=scontent.fsyd14-1.fna&_nc_gid=8ozv2aeBzgTvyZiqS5ooMQ&oh=00_AfnSBYaWdgibqOGuCwkQNnu1n9Cv3sRgtLdo9t5Um9W1Ww&oe=69354D29","AU$14,000","AU$16,500","2015 Mazda 3","Sydney, NSW","158K km"
"https://www.facebook.com/marketplace/item/1395881775509891/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7856606307037564765%22%2C%22mf_story_key%22%3A%2224700628992950164%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24700628992950164%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A65%2C%5C%22ranking_signature%5C%22%3A3636332455793815165%2C%5C%22ranking_request_id%5C%22%3A8962385051695390232%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00029624560748585%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224700628992950164%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://scontent.fsyd14-1.fna.fbcdn.net/v/t39.30808-6/585323091_2000216760881786_6794103238485962902_n.jpg?stp=c0.169.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=108&_nc_cb=99be929b-f3b7c874&ccb=1-7&_nc_sid=946e27&_nc_ohc=88BuW6arGusQ7kNvwGGUQCQ&_nc_oc=AdlQc2WAYB6tzrdeRy7R1XmRnnez_eOwMdN2oWabHjsi2pfKREDMiZCRCk1Tif5szps&_nc_zt=23&_nc_ht=scontent.fsyd14-1.fna&_nc_gid=8ozv2aeBzgTvyZiqS5ooMQ&oh=00_AfnkOykzwtlf77ZUIDD9edUl91kXMIxVfpj1vm_dTijqxA&oe=6935386F","AU$25,000","AU$27,000","2020 Mazda 3","Sydney, NSW","69K km"
"https://www.facebook.com/marketplace/item/790068114200008/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7856606169642468693%22%2C%22mf_story_key%22%3A%2232412729038370907%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A32412729038370907%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A70%2C%5C%22ranking_signature%5C%22%3A3636332455793815165%2C%5C%22ranking_request_id%5C%22%3A8962385051695390232%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A4.6745127359372e-5%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2232412729038370907%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://scontent.fsyd14-1.fna.fbcdn.net/v/t39.30808-6/584302976_1240730521420126_4768099331833458951_n.jpg?stp=c0.169.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=105&_nc_cb=99be929b-f3b7c874&ccb=1-7&_nc_sid=454cf4&_nc_ohc=JoNZjFZ9NZAQ7kNvwHDZ-jY&_nc_oc=AdkXGMFeWBhvMdxepsoASfyJS2reFUFfzZJ52FY7qM9Lrv0dTsgzkGNKMeMEU8YMaRo&_nc_zt=23&_nc_ht=scontent.fsyd14-1.fna&_nc_gid=r1T3C94S1Wlbv-8i32Q51g&oh=00_Afm-pU3uSGMihaUphKekFzX5HF0GJD2_vksWT4XlWQ-4gg&oe=69354280","AU$8,800","","2009 Mazda 3","Sydney, NSW","121K km"
"https://www.facebook.com/marketplace/item/1517801222816766/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-7856606169642468693%22%2C%22mf_story_key%22%3A%2233427783716820755%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A33427783716820755%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A73%2C%5C%22ranking_signature%5C%22%3A3636332455793815165%2C%5C%22ranking_request_id%5C%22%3A8962385051695390232%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.00019700396855041%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2233427783716820755%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD","https://scontent.fsyd14-1.fna.fbcdn.net/v/t39.30808-6/585335629_25037497545858824_5495934441196123729_n.jpg?stp=c799.0.1399.1399a_dst-jpg_s261x260_tt6&_nc_cat=101&_nc_cb=99be929b-f3b7c874&ccb=1-7&_nc_sid=454cf4&_nc_ohc=5uJc-yxT4zkQ7kNvwErERl7&_nc_oc=AdnsmFdjDK-q-sYOT1hc36Ij46VvKhqD--i8pw_HiyEUU1IeRMTpvoZuT7Go144SJK8&_nc_zt=23&_nc_ht=scontent.fsyd14-1.fna&_nc_gid=r1T3C94S1Wlbv-8i32Q51g&oh=00_AfmP7JErfk8zFj4hLuk5shPL39qpQ4E7gNVX3VaoIyBsUA&oe=69353235","AU$1","","2023 Mazda 3","Sydney, NSW","25K km"
