make,model,year_start,year_end,gen
honda,civic,2001,2005,7
honda,civic,2006,2011,8
honda,civic,2012,2015,9
honda,civic,2016,2021,10
honda,civic,2022,9999,11
honda,jazz,2002,2007,1
honda,jazz,2008,2014,2
honda,jazz,2015,2020,3
mazda,mazda2,2002,2007,1
mazda,mazda2,2007,2014,2
mazda,mazda2,2014,9999,3
mazda,mazda3,2004,2009,1
mazda,mazda3,2009,2013,2
mazda,mazda3,2014,2018,3
mazda,mazda3,2019,9999,4
hyundai,i30,2007,2011,1
hyundai,i30,2012,2016,2
hyundai,i30,2017,9999,3
hyundai,i30sedan,2020,9999,1
toyota,corolla,2001,2007,9
toyota,corolla,2007,2012,10
toyota,corolla,2012,2018,11
toyota,corolla,2018,9999,12
toyota,camry,2002,2006,30
toyota,camry,2006,2011,40
toyota,camry,2011,2017,50
toyota,camry,2017,9999,70
